ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-6,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-7,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-8,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-9,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-10,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-11,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-12,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-13,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-14,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-15,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-16,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-17,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-19,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-29,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-30,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-33,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-34,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-35,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-37,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,3-38,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,7-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,7-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,7-5,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,7-6,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,8-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,8-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,8-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,8-4,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,8-5,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,9-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,10-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,10-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,10-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,10-9,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,10-11,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,10-12,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,10-13,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,10-14,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,12-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,12-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,12-6,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,13-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,14-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,17-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,17-4,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,18-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,18-4,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,18-5,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲18-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,19-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,19-4,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,19-7,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,19-8,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲19-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲19-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,20,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-4,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-6,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-7,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-8,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-9,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-10,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲20-11,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-5,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-9,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-10,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-11,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-12,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-13,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲21-14,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,甲23-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,25,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,29,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,32-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,36-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,36-4,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,36-5,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,37-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,37-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,37-3,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,37-4,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,38-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,38-2,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,39-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,40-1,,
37404-4701-1.zip,202202141239,仲多度郡多度津町栄町１丁目,40-2,,
